player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Lautaro Martínez,Argentina,Argentina,FW,28-303,1997,Inter,1,1,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.67,1.67,0.0,0.0,54.0,60.0,54.0,0,0,,0,3.0,1.0,0.0,1.0,1.67,-3.33,0.0,2.0,0.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Leandro Paredes,Argentina,Argentina,MF,31-357,1994,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionel Messi,Argentina,Argentina,FW,38-362,1987,Inter Miami,1,1,79.0,0.9,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.42,0.0,3.42,3.42,3.42,6.0,4.0,66.7,6.84,4.56,0.5,0.75,79.0,87.8,79.0,0,0,,0,3.0,3.0,0.0,3.0,3.42,3.42,0.0,1.0,1.0,1.0,3.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Lisandro Martínez,Argentina,Argentina,DF,28-154,1998,Manchester Utd,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,3.0,3.0,0.0,3.0,3.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Marcos Senesi,Argentina,Argentina,DF,29-042,1997,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nahuel Molina,Argentina,Argentina,"DF,MF",28-076,1998,Atlético Madrid,1,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,45.0,50.0,,0,1,45.0,0,3.0,2.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Nicolás González,Argentina,Argentina,"FW,MF",28-076,1998,Atlético Madrid,1,0,36.0,0.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,0.0,0.0,,0.0,0.0,,,36.0,40.0,,0,1,36.0,0,3.0,2.0,0.0,2.0,5.0,3.33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Nicolás Otamendi,Argentina,Argentina,DF,38-129,1988,Benfica,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,11.0,12.2,,0,1,11.0,0,3.0,0.0,0.0,0.0,0.0,-3.42,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Nicolás Paz,Argentina,Argentina,MF,21-286,2004,Como,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,11.0,12.2,,0,1,11.0,0,3.0,0.0,0.0,0.0,0.0,-3.42,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Nicolás Tagliafico,Argentina,Argentina,DF,33-294,1992,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
