player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Ayoub Al-Oui,Qatar,Qatar,DF,21-102,2005,,2,2,149.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,75.0,82.8,75.0,1,0,,0,0.5,0.0,7.0,-7.0,-4.23,-7.13,0.0,1.0,0.0,0.0,0.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Boualem Khoukhi,Qatar,Qatar,DF,35-347,1990,,2,2,180.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,2.0,1.0,50.0,1.0,0.5,0.5,1.0,90.0,100.0,90.0,2,0,,0,0.5,1.0,7.0,-6.0,-3.0,,0.0,2.0,1.0,0.0,0.0,3.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Edmilson Junior,Qatar,Qatar,"MF,FW",31-306,1994,,2,2,132.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,2.05,1.36,0.0,0.0,66.0,73.3,66.0,0,0,,0,0.5,0.0,4.0,-4.0,-2.73,1.02,0.0,3.0,2.0,0.0,2.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Hassan Al-Haydos,Qatar,Qatar,"FW,MF",35-192,1990,,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,3.0,1.7,,0,1,3.0,1,1.0,1.0,0.0,1.0,30.0,33.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Homam Ahmed,Qatar,Qatar,DF,26-300,1999,Cultural Leonesa,2,2,122.0,1.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.74,0.74,0.0,0.74,1.0,0.0,0.0,0.74,0.0,0.0,,61.0,67.8,61.0,1,0,,0,0.5,1.0,3.0,-2.0,-1.48,4.73,0.0,4.0,0.0,0.0,3.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Issa Laye,Qatar,Qatar,MF,28-181,1997,,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,,90.0,100.0,90.0,2,0,,0,0.5,1.0,7.0,-6.0,-3.0,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Jassem Gaber,Qatar,Qatar,MF,24-121,2002,,2,2,104.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,52.0,57.8,52.0,0,0,,0,0.5,0.0,4.0,-4.0,-3.46,-1.09,0.0,3.0,0.0,0.0,0.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Karim Boudiaf,Qatar,Qatar,"DF,MF",35-278,1990,,1,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.9,0.0,0.0,,31.0,17.2,,0,1,31.0,1,1.0,1.0,0.0,1.0,2.9,7.13,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Lucas Mendes,Qatar,Qatar,DF,35-353,1990,,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,4.0,2.2,,0,1,4.0,1,0.0,0.0,1.0,-1.0,-22.5,-19.94,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Mahmoud Abunada,Qatar,Qatar,GK,26-136,2000,,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,2,0,,0,0.5,1.0,7.0,-6.0,-3.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,2.0,2.0,180.0,7.0,3.5,15.0,9.0,60.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Meshaal Barsham,Qatar,Qatar,GK,28-127,1998,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Manai,Qatar,Qatar,DF,23-239,2002,,2,0,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,29.0,31.7,,0,2,29.0,0,0.5,1.0,3.0,-2.0,-3.16,-0.23,0.0,1.0,0.0,0.0,0.0,2.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,
Mohammed Muntari,Qatar,Qatar,FW,32-183,1993,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ró-Ró,Qatar,Qatar,DF,35-319,1990,,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,2,0,,0,0.5,1.0,7.0,-6.0,-3.0,,0.0,1.0,5.0,0.0,0.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Salah Zakaria,Qatar,Qatar,GK,27-058,1999,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sultan Al-Brake,Qatar,Qatar,DF,30-075,1996,,1,0,51.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,51.0,28.3,,0,1,51.0,1,0.0,0.0,4.0,-4.0,-7.06,-5.66,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Tahsin Jamshid,Qatar,Qatar,FW,20-005,2006,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yusuf Abdurisag,Qatar,Qatar,FW,26-319,1999,,2,2,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,49.0,54.4,49.0,0,0,,0,0.5,0.0,3.0,-3.0,-2.76,0.54,0.0,1.0,2.0,0.0,0.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Abdulelah Al-Amri,Saudi Arabia,Saudi Arabia,DF,29-157,1997,,1,1,90.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,100.0,2.0,2.0,0.5,0.5,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Abdullah Al-Hamdan,Saudi Arabia,Saudi Arabia,FW,26-281,1999,Al-Nassr,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1.0,1.1,,0,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Abdullah Al-Khaibari,Saudi Arabia,Saudi Arabia,MF,29-309,1996,Al-Nassr,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ahmed Al-Kassar,Saudi Arabia,Saudi Arabia,GK,35-044,1991,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaa Al Hejji,Saudi Arabia,Saudi Arabia,MF,30-200,1995,Neom,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1.0,1.1,,0,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ali Lajami,Saudi Arabia,Saudi Arabia,DF,30-058,1996,Al-Hilal,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1.0,1.1,,0,1,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ali Majrashi,Saudi Arabia,Saudi Arabia,DF,26-262,1999,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayman Yahya,Saudi Arabia,Saudi Arabia,MF,25-038,2001,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firas Al-Buraikan,Saudi Arabia,Saudi Arabia,FW,26-038,2000,Al-Ahli,1,1,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,89.0,98.9,89.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Hassan Al Tambakti,Saudi Arabia,Saudi Arabia,DF,27-132,1999,Al-Hilal,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Hassan Kadesh,Saudi Arabia,Saudi Arabia,DF,33-288,1992,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jehad Thakri,Saudi Arabia,Saudi Arabia,DF,24-335,2001,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalid Al Ghannam,Saudi Arabia,Saudi Arabia,MF,25-225,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Kanno,Saudi Arabia,Saudi Arabia,MF,31-272,1994,Al-Hilal,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,2.0,1.0,0.0,0.0,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Mohammed Abu Al-Shamat,Saudi Arabia,Saudi Arabia,MF,23-314,2002,Al-Qadsiah,1,1,80.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,80.0,88.9,80.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Mohammed Al-Owais,Saudi Arabia,Saudi Arabia,GK,34-254,1991,Al-Ula,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,90.0,1.0,1.0,10.0,9.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Moteb Al-Harbi,Saudi Arabia,Saudi Arabia,DF,26-121,2000,Al-Hilal,1,1,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,89.0,98.9,89.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Musab Al Juwayr,Saudi Arabia,Saudi Arabia,FW,23-001,2003,Al-Qadsiah,1,1,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,62.0,68.9,62.0,0,0,,0,1.0,1.0,0.0,1.0,1.45,4.67,0.0,1.0,0.0,0.0,3.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Nasser Al-Dawsari,Saudi Arabia,Saudi Arabia,"DF,MF",27-184,1998,Al-Hilal,1,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,28.0,31.1,,0,1,28.0,0,1.0,0.0,1.0,-1.0,-3.21,-4.67,0.0,3.0,0.0,0.0,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Nawaf Al Aqidi,Saudi Arabia,Saudi Arabia,GK,26-042,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nawaf Boushal,Saudi Arabia,Saudi Arabia,DF,26-278,1999,Al-Nassr,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,10.0,11.1,,0,1,10.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Saleh Al-Shehri,Saudi Arabia,Saudi Arabia,FW,32-232,1993,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem Al-Dawsari,Saudi Arabia,Saudi Arabia,MF,34-306,1991,Al-Hilal,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,90.0,100.0,90.0,1,0,,0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Saud Abdulhamid,Saudi Arabia,Saudi Arabia,DF,26-338,1999,Lens,1,1,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.01,0.0,0.0,,89.0,98.9,89.0,0,0,,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Sultan Mendash,Saudi Arabia,Saudi Arabia,"FW,MF",31-247,1994,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziyad Al Johani,Saudi Arabia,Saudi Arabia,MF,24-222,2001,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Hickey,Scotland,Scotland,DF,24-011,2002,Brentford,1,1,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,74.0,41.1,74.0,0,0,,1,3.0,1.0,0.0,1.0,1.22,2.07,0.0,2.0,4.0,0.0,1.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Andy Robertson,Scotland,Scotland,DF,32-102,1994,Liverpool,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,2,0,,0,1.5,1.0,1.0,0.0,0.0,,0.0,3.0,1.0,0.0,7.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Angus Gunn,Scotland,Scotland,GK,30-150,1996,Nottingham,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,2,0,,0,1.5,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,2.0,2.0,180.0,1.0,0.5,4.0,3.0,75.0,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,0.0,
Anthony Ralston,Scotland,Scotland,DF,27-217,1998,Celtic,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,2.0,1.1,,0,1,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ben Gannon-Doak,Scotland,Scotland,MF,20-222,2005,Bournemouth,2,1,105.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.71,0.0,0.0,,53.0,58.3,74.0,0,1,31.0,0,1.5,1.0,0.0,1.0,0.86,2.06,0.0,2.0,1.0,0.0,5.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ché Adams,Scotland,Scotland,FW,29-343,1996,Torino,2,2,144.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.62,0.62,0.0,0.0,72.0,80.0,72.0,0,0,,0,1.5,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Craig Gordon,Scotland,Scotland,GK,43-172,1982,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominic Hyam,Scotland,Scotland,DF,30-183,1995,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Findlay Curtis,Scotland,Scotland,MF,19-263,2006,Kilmarnock,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,8.0,4.4,,0,1,8.0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
George Hirst,Scotland,Scotland,FW,27-126,1999,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grant Hanley,Scotland,Scotland,DF,34-213,1991,Hibernian,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,2,0,,0,1.5,1.0,1.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Jack Hendry,Scotland,Scotland,DF,31-045,1995,Al-Ettifaq,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,2,0,,0,1.5,1.0,1.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
John McGinn,Scotland,Scotland,MF,31-246,1994,Aston Villa,2,2,170.0,1.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.53,0.0,0.53,0.53,0.53,3.0,1.0,33.3,1.59,0.53,0.33,1.0,85.0,94.4,85.0,0,0,,0,1.5,1.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,5.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
John Souttar,Scotland,Scotland,DF,29-269,1996,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenny McLean,Scotland,Scotland,"DF,MF",34-164,1992,Norwich City,2,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,14.0,15.6,,0,2,14.0,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Kieran Tierney,Scotland,Scotland,MF,29-016,1997,Celtic,1,1,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.53,0.0,0.0,,59.0,32.8,59.0,0,0,,1,0.0,0.0,1.0,-1.0,-1.53,-2.27,0.0,2.0,1.0,0.0,2.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Lawrence Shankland,Scotland,Scotland,FW,30-315,1995,Hearts,1,1,82.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.2,0.0,0.0,,82.0,45.6,82.0,0,0,,1,3.0,1.0,0.0,1.0,1.1,2.02,0.0,4.0,2.0,1.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Lewis Ferguson,Scotland,Scotland,MF,26-301,1999,Bologna,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,2,0,,0,1.5,1.0,1.0,0.0,0.0,,0.0,3.0,9.0,0.0,3.0,4.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,
Liam Kelly,Scotland,Scotland,GK,30-149,1996,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyndon Dykes,Scotland,Scotland,"FW,MF",30-257,1995,Charlton Athletic,2,0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,0.0,0.0,,18.0,20.0,,0,2,18.0,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Nathan Patterson,Scotland,Scotland,DF,24-248,2001,Everton,2,1,104.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,52.0,57.8,88.0,0,1,16.0,0,1.5,0.0,1.0,-1.0,-0.87,-2.05,0.0,1.0,0.0,0.0,1.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ross Stewart,Scotland,Scotland,FW,29-345,1996,Southampton,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,2.0,1.1,,0,1,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ryan Christie,Scotland,Scotland,MF,31-119,1995,Bournemouth,2,1,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.05,0.0,0.0,,43.0,47.8,70.0,0,1,16.0,0,1.5,0.0,1.0,-1.0,-1.05,-2.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Scott McKenna,Scotland,Scotland,DF,29-221,1996,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott McTominay,Scotland,Scotland,MF,29-195,1996,Napoli,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,,90.0,100.0,90.0,2,0,,0,1.5,1.0,1.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Tyler Fletcher,Scotland,Scotland,MF,19-094,2007,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdoulaye Seck,Senegal,Senegal,DF,34-017,1992,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antoine Mendy,Senegal,Senegal,DF,22-025,2004,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assane Diao,Senegal,Senegal,MF,20-287,2005,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
